nonqs,edge_iota
0.012901418515510648,0.09419568360674799
0.013117772572964552,0.09316469859275904
0.013334176141689054,0.09211244109960144
0.013550609590631419,0.09103697415371725
0.013767055812900855,0.0899363665111749
0.013983500733126463,0.08880876180576998
0.014199933884181516,0.08765248125358446
0.014416349013161649,0.08646616990853478
0.014632744631881295,0.08524899595420356
0.014849124363088715,0.08400090836959966
0.015065496860615892,0.08272294776746486
0.01528187504105781,0.0814175855182578
0.015498274455259323,0.08008903702629
0.015714711025371943,0.07874346226509857
0.01593119929632946,0.07738894672469344
0.016147753931365506,0.07603517291929765
0.016364399286661366,0.0746927634185998
0.016581193963942406,0.07337238735872237
